iteration,algorithm,organic_concentration,isocratic_time,gradient_time,number_of_peak,critical_resolution,last_peak_elutes
1,LHS1,5.4,4.4,3.7,3.0,0.4078,7.0
2,LHS2,53.3,0.1,2.5,1.0,0.0,0.9
3,LHS3,34.9,1.5,2.1,2.0,1.6329,1.9
4,LHS4,17.8,2.3,3.2,3.0,1.27,6.5
5,LHS5,49.8,2.6,4.2,1.0,0.0,1.0
6,LHS6,19.3,1.0,1.7,2.0,0.0,2.7
7,LHS7,26.8,3.6,4.7,3.0,0.6378,3.4
8,LHS8,42.0,4.5,1.3,2.0,0.4821,1.3
9,BO1,17.7,3.21,5.0,3.0,1.3531,5.4
10,BO2,35.2,1.61,0.45,2.0,0.8858,1.8
11,BO3,33.52,1.65,3.81,2.0,1.1835,2.0
12,BO4,17.48,3.59,0.77,2.0,2.0879,4.9
13,BO5,23.07,5.0,4.08,3.0,1.9496,4.8
14,BO6,25.02,5.0,5.0,3.0,0.7754,3.9
15,BO7,35.23,3.63,5.0,2.0,1.2223,1.8
16,BO8,34.67,0.0,1.98,2.0,0.2064,1.5
17,BO9,25.27,0.0,5.0,2.0,0.9563,2.1
18,BO10,28.38,4.99,4.08,2.0,2.6576,3.0
19,BO11,23.82,2.94,5.0,3.0,1.5964,4.3
20,BO12,18.3,0.0,0.0,3.0,0.0891,2.1
